00A695A8	Michael	迈克尔
00AC6D10	CD Storage	CD存储
00AC6D38	Chall Lamp #2	挑战灯 2
00AC6D58	Clipboard	文件板
00AC6D80	Cork Board	软木板
00AC6DA0	Cupboard Door (Lifeblurb)	橱柜门（Lifeblurb）
00AC6DD8	Desk Lamp	台灯
00AC6E00	Desk Phone #1	台式电话1
00AC6E20	Desk Phone #2	台式电话2
00AC6E48	Desk Tidy	桌面器
00AC6E70	FIB Ashtray	烟灰缸
00AC6E90	FIB Reception Counter	FIB接待台
00AC6EC0	File Box #1	文件盒 1
00AC6EE0	File Box #2	文件盒 2
00AC6F08	File Box #4	文件盒 4
00AC6F30	In Trays #1	文件托 1
00AC6F50	In Trays #2	文件盘 2
00AC6F78	Locker #1, No Door	无门储物柜 1
00AC6FA8	Locker #1, With Door	带门的储物柜 1
00AC6FD8	Locker #1 Door #1	储物柜 1 门 1
00AC7008	Locker #2 Door	储物柜门 2
00AC7028	Marker Pen	马克笔
00AC7050	Notepad	便签
00AC7070	Noticeboard Pin #1	公告板别针 1
00AC70A0	Office Air Con	办公室调
00AC70C8	Office Cabinet	办公室柜
00AC70F0	Office Plant	办公室植
00AC7118	Office Plant #1	办公室物 1
00AC7140	Office Plant #2	办公室植 2
00AC7160	Paper Folders	文件夹
00AC7188	Pencil	铅笔
00AC71A8	Pile of Binders #1	一堆文件夹 1
00AC71D8	Pile of Binders #2	一堆文件夹 2
00AC7208	Pile of Binders #4	一堆文件夹 4
00AC7238	Pile of Documents #1	一堆文件 1
00AC7268	Planning Board #1	计划板 1
00AC7298	Planning Board #3	计划板 3
00AC72C8	Planning Board #4	计划板 4
00AC72F8	Poster Tube #1	海报管 1
00AC7318	Ringbinder Open	开放活页夹
00AC7338	Shredder	粉碎
00AC7360	Tea Trolley	茶车
00AC7388	Water Cooler	饮水机
00AC73B0	Water Cooler Bottle	饮水机瓶
00AC73E0	Box Of Wallpaper	一箱壁纸
00AC7410	Paint Can #1	油漆桶 1
00AC7438	Paint Can #3	油漆桶 3
00AC7460	Paint Can #4	油漆桶 4
00AC7488	Paint Can #5	油漆桶 5
00AC74B0	Paint Can #6	油漆桶 6
00AC74D0	Paint Can #7	油漆桶 7
00AC74F8	Paint Tray	油漆盘
00AC7520	Painters Steps #1	油漆工梯子 1
00AC7550	Painters Steps #2	油漆工梯子 2
00AC7580	Painters Steps #3	油漆工梯子 3
00AC75B0	Paints On Bench	桌面上油漆
00AC75D8	Paints On Pallet	托盘上油漆
00AC7608	Spray Can	喷雾罐
00AC7630	Spray Paint Can #1	喷漆罐 1
00AC7658	Spray Paint Can #2	喷漆罐 2
00AC7688	A4 Pile	A纸堆
00AC76A8	A4 Sheet #1	A4 纸张 1
00AC76D0	Amanda Note #2	阿曼便条2
00AC76F8	Arc Blueprints	弧形蓝图
00AC7720	Blueprint	蓝图
00AC7748	Business Card	名片
00AC7770	Casey Security ID	凯安全证件
00AC77A0	Documents	文件
00AC77C0	Envelope	信封
00AC77E8	FIB Badge	FIB徽章
00AC7810	Focus Sheet	焦点表
00AC7838	Franklin Drivers License	富兰克林驾驶执照
00AC7870	Magazine	杂志
00AC7898	Michael Security ID	迈克安全证件
00AC78C8	Newspaper: Cliffs Tragedy	报纸：悬崖悲剧
00AC78F8	Newspaper: Daily Globe	报纸：每日环球
00AC7928	Notepad #1	记事本1
00AC7950	Pamphlet	册子
00AC7978	Passport	护照
00AC79A0	Polaroid	薄膜
00AC79C8	Porn Mag #2	色情杂 2
00AC79F0	Porn Mag #3	色情志 3
00AC7A18	R Business Card	R 名片
00AC7A40	Rolled Paper	卷纸
00AC7A68	Swipe Card	刷卡卡
00AC7A90	Tourist Map	游客图
00AC7AB8	Trevor's Security ID	特雷安全证件
00AC7AE0	Camera	相机
00AC7B00	Camera Flash Unit	相机闪光灯
00AC7B28	Camera Strap	相机带
00AC7B50	Car Keys	钥匙
00AC7B78	Cigar #1	雪茄 1
00AC7BA0	Cigar Pack #1	雪茄包 1
00AC7BC0	Cigarette #1	香烟 1
00AC7BE0	Cigarette Lighter	打火机
00AC7C08	Cigarette Packet #1	香烟包 1
00AC7C30	Cigarette Packet #5	香烟包 5
00AC7C58	Cigarette Packet #6	香烟包 6
00AC7C80	Cigarette Packet #7	香烟包 7
00AC7CA8	Cigarette Packet #8	香烟包 8
00AC7CD8	Cigarette Papers #1	香烟纸 1
00AC7D08	Diaphragm	隔膜
00AC7D2C	Dildo	假
00AC7D50	Fag Packet	烟包
00AC7D70	Gold Tooth	金牙
00AC7D90	Huff Rag	吸布
00AC7DB8	Inhaler	吸器
00AC7DD8	Lipstick	唇膏
00AC7E00	Paparazzo Camera	狗仔相机
00AC7E28	Purse	包
00AC7E48	Umbrella #1	雨伞 1
00AC7E70	Walking Stick	手杖
00AC7E98	Wallet #1	钱包 1
00AC7EC0	Wallet Pickup	拾起钱包
00AC7EE8	Ballistic Shield	防弹盾
00AC7F18	Handcuff Keys	手铐钥匙
00AC7F40	Handcuffs	手铐
00AC7F68	Police ID Board	警察身份板
00AC7F98	Police Phone	警察电话
00AC7FC0	Police Radio Handset	警察无线电机
00AC7FF0	Police Radio Main	警无线主机
00AC8020	Police Torch #1	警察手电筒
00AC8040	Riot Shield	盾牌
00AC8060	Stinger Strip #1	刺条 1
00AC8088	Stinger Strip #2	刺条 2
00AC80B8	Stinger Strip #3	刺条 3
00AC80E8	Stinger Strip Piece #1	刺条碎片 1
00AC8118	Tyre Spike	轮胎刺
00AC8138	Pool Ball #1	台球 1
00AC8158	Pool Ball #2	台球 2
00AC8178	Pool Ball #3	台球 3
00AC8198	Pool Ball #4	台球 4
00AC81B8	Pool Ball #5	台球 5
00AC81D8	Pool Ball #6	台球 6
00AC81F8	Pool Ball #7	台球 7
00AC8218	Pool Ball #8	台球 8
00AC8240	Pool Ball #9	台球 9
00AC8260	Pool Ball #10	台球 10
00AC8288	Pool Cue	球杆
00AC82B0	Pool Rack #1	台球架 1
00AC82D8	Pool Rack #2	台球架 2
00AC82F8	Pool Table #1	台球桌 1
00AC8318	Pool Triangle	台球角架
00AC8340	Rail #1	铁轨1
00AC8360	Rail Points	转向器
00AC8388	Railway Boxcar #1	铁路货车 1
00AC83B8	Railway Boxcar #2	铁路货车 2
00AC83E8	Railway Boxcar #3	铁路货车 3
00AC8418	Railway Boxcar Door	铁路货车门
00AC8448	Railway Controller	铁路控制器
00AC8478	Railway Crossing Barrier #1	铁路道口障碍物 1
00AC84B0	Railway Crossing Sign	铁路道口标志
00AC84E0	Railway Points #1	铁路道岔 1
00AC8510	Railway Sign: A	铁路标志 A
00AC8538	Railway Sign: D	铁路标志 D
00AC8560	Railway Sign: E	铁路标志 E
00AC8588	Railway Sign: Marker	铁路标志 标记
00AC85B8	Railway Sign: Red Circle	铁路标志：红圈
00AC85F0	Railway Sign: Red Square	铁路标志：红方块
00AC8628	Railway Signal: Ground	铁路信号：地面
00AC8658	Railway Signal: Pole #1	铁路信号：杆 1
00AC8688	Railway Signal: Pole #2	铁路信号：杆 2
00AC86B8	Train Ticket Machine	火车票机
00AC86E8	Train Wheel	火车轮
00AC8708	Jetski Ramp	水坡道
00AC8728	Multiplayer Ramp #1	多人游戏坡道1
00AC8750	Multiplayer Ramp #2	多人游戏坡道2
00AC8780	Multiplayer Ramp #3	多人游戏坡道3
00AC87B0	Old Rotten Ramp Piece	旧腐烂坡道块
00AC87E0	Pile of Dirt	一堆泥土
00AC8808	Skate Park Flat Ramp	滑板公园平坡
00AC8838	Skate Park Funbox	滑板公园箱
00AC8868	Skate Park Half Pipe	滑板公园半管
00AC8898	Skate Park Kickers	滑板公园跳台
00AC88C8	Skate Park Quarter Pipe	滑板公园四分管
00AC88F8	Skate Park Spinner	滑板园旋转器
00AC8928	Trials Seesaw #1	障碍跷跷板1
00AC8958	Trials Seesaw #2	障赛跷跷板2
00AC8988	Water Ramp #1	水上坡道1
00AC89B0	Water Ramp #2	水上坡道2
00AC89D8	Water Ramp #3	水上坡道3
00AC8A00	Airport Parking Sign	机场停车标志
00AC8A30	Barrier Water Barrel #1	障碍水桶 1
00AC8A60	Barrier Water Barrel #2	障碍水桶 2
00AC8A88	Barrier Water Barrel #5	障碍水桶 5
00AC8AB0	Bollard #2	路障 2
00AC8AD8	Bollard #3	路障 3
00AC8B00	Bollard #4	路障 4
00AC8B28	Bollard #5	路障 5
00AC8B50	Bollard #6	路障 6
00AC8B78	Cone Float	锥形标
00AC8BA0	Crash Barrier #1	撞击障碍物1
00AC8BD0	Crash Barrier #2	撞击障碍物2
00AC8C00	Emergency Phone	紧急电话
00AC8C28	Gas Pump Global	全球油泵
00AC8C50	Gas Pump LTD	限量油泵
00AC8C78	Gas Pump LTD Old	旧款限油泵
00AC8CA8	Gas Pump Ron	罗恩油泵
00AC8CD0	Gas Pump Xero	零油泵
00AC8CF8	Gas Station Air & Water	加油站空气与水
00AC8D28	Gas Station Bin	油站垃圾桶
00AC8D50	Gas Station Bin Small	加油站小垃圾桶
00AC8D80	Gas Station Open Sign	加油站开业标志
00AC8DA8	Gas Station Prices Sign	加油站价格标志
00AC8DD8	Gas Station Products	加油站产品
00AC8E08	Gas Station Pull Forward Sign	加油站前进标志
00AC8E40	Gas Station Sign	加油站标志
00AC8E70	Gas Station Sign Pole	加油站标志杆
00AC8EA0	Gas Station Use Other Side Sign	加油站请使用另一侧标
00AC8ED8	Highway Paddle	高速标板
00AC8F08	Max Clearance Sign	最大行高度标
00AC8F38	No Trespassing Sign	禁止进入标志
00AC8F68	Offroad Race Bale #1	越野赛障草堆 1
00AC8F98	Offroad Race Bale #2	越野赛碍草堆 2
00AC8FC8	Offroad Race Bale #3	越野赛障草堆 3
00AC8FF8	Offroad Race Barrel #1	越野赛障碍桶 1
00AC9028	Offroad Race Barrel #2	越野赛障碍桶 2
00AC9058	Offroad Race Tyres #1	越野赛障轮胎 1
00AC9088	Offroad Race Tyres #2	越野赛碍轮胎 2
00AC90B8	Parking Hut	停车屋
00AC90E8	Plastic Barrier	塑料障碍物
00AC9110	Road Arrow Barrier	道路箭头障物
00AC9140	Road Barrier #1	道路障碍 1
00AC9168	Road Barrier #3	道路障碍 3
00AC9188	Road Barrier: Work Ahead	道路障碍前方施工
00AC91B8	Road Cone #1	路锥 1
00AC91D8	Road Cone #2	路锥 2
00AC91F8	Road Cone #3	路锥 3
00AC9220	Road Cone #4	路锥 4
00AC9248	Road Memorial #1	道路纪念碑1
00AC9278	Road Memorial #2	道路纪念碑2
00AC92A8	Road Sign: 15MPH #1	道路标志15MPH 1
00AC92D8	Road Sign: 15MPH #2	道路标志15MPH 2
00AC9308	Road Sign: 25MPH	道路标 25MPH
00AC9338	Road Sign: 35MPH	道路标35MPH
00AC9368	Road Sign: 35MPH (Snowy)	道路标志 35MPH雪地
00AC93A0	Road Sign: 50MPH	道路标 50MPH
00AC93D0	Road Sign: 5MPH	道路标 5MPH
00AC93F8	Road Sign: 60MPH	道路标 60MPH
00AC9428	Road Sign: 60MPH (Snowy)	道路标志 60MPH雪地
00AC9460	Road Sign: Aircraft	道路标 航空器
00AC9490	Road Sign: Aircraft Enforcement	道路标志：航空器执法
00AC94C8	Road Sign: All Traffic	道路标 所有交通
00AC94F8	Road Sign: Beach Danger #1	道路标志 海滩危险1
00AC9530	Road Sign: Beach Danger #2	道路标志 海滩危险2
00AC9568	Road Sign: Beach Rules #1	道路标  海滩规则1
00AC95A0	Road Sign: Beach Rules #2	道路标志海滩规则2
00AC95D8	Road Sign: Bend	道路标弯道
00AC9600	Road Sign: Bends	道路标弯道
00AC9630	Road Sign: Bike Lane	道路标 自行道
00AC9660	Road Sign: Bike Route	道路标志 路线
00AC9690	Road Sign: Bikes Only	标志仅限自行车
00AC96C0	Road Sign: Bumps	道路标 颠簸
00AC96F0	Road Sign: Car Pool	道路标 拼车道
00AC9720	Road Sign: Chevron Left	道路标 左转箭头
00AC9750	Road Sign: Chevron Right	道路标 右转箭头
00AC9788	Road Sign: Children	道路标志 儿童
00AC97B8	Road Sign: Cows	道路标志牛
00AC97E0	Road Sign: Crossing	道路标 交叉口
00AC9808	Road Sign: Deer	道路标 鹿
00AC9830	Road Sign: Directions	道路标志：方向
00AC9860	Road Sign: Dog Defecation	道路标志：狗粪
00AC9898	Road Sign: Don't Block Intersection	道路标志：勿堵塞交叉口
00AC98D8	Road Sign: Ducks	道路标 鸭子
00AC9908	Road Sign: Exit 25MPH	道路标出口 25MPH
00AC9930	Road Sign: Exit 55MPH	道路标出口 55MPH
00AC9960	Road Sign: Exit Direction	道路标志 出口方向
00AC9998	Road Sign: Exit Only	道路标 限出口
00AC99C8	Road Sign: Falling Rocks	道路标志：落石
00AC9A08	Road Sign: Floods	道路标 洪水
00AC9A38	Road Sign: Freeway Entrance	道路标高速公路入口
00AC9A70	Road Sign: Give Way	道路标志 让行
00AC9AA0	Road Sign: Hidden Intersection	道路标志：隐藏交叉口
00AC9AD8	Road Sign: Horses	道路标志 马
00AC9B08	Road Sign: Hospital	道路标志 医院
00AC9B38	Road Sign: Interstate #1	道路标 州际公路 1
00AC9B70	Road Sign: Interstate #2	道路标 州际公路 2
00AC9BA8	Road Sign: Interstate #3	道路标 州际公路 3
00AC9BE0	Road Sign: Interstate #4	道路标 州际公路 4
00AC9C18	Road Sign: Interstate #5	道路标 州际公路 5
00AC9C50	Road Sign: Joins	道路标 汇合
00AC9C80	Road Sign: Junction	道路标 交汇点
00AC9CB0	Road Sign: Keep Off Dike	道路标禁踏上堤坝
00AC9CE8	Road Sign: Keep Right	道路标靠右行驶
00AC9D00	Road Sign: Left Arrow	道路标左转箭头
00AC9D30	Road Sign: Left Bend	道路标志  左弯
00AC9D60	Road Sign: Left Only	道路标  仅左转
00AC9D90	Road Sign: Left Turn	道路标志  左转
00AC9DC0	Road Sign: Loading Only	道路标 仅限装卸
00AC9DF0	Road Sign: Local Access	道路标  本地通道
00AC9E20	Road Sign: Look For Trains	道路标志  注意火车
00AC9E58	Road Sign: Merges	道路标 合并
00AC9E88	Road Sign: No Bikes	路标 禁自行车
00AC9EB8	Road Sign: No Dogs	路标禁携带狗
00AC9EE8	Road Sign: No Entry	路标禁止入内
00AC9F18	Road Sign: No Entry Wrong Way	道路标志 禁止入内
00AC9F50	Road Sign: No Feeding	道路标禁止喂食
00AC9F80	Road Sign: No Fishing	道路标禁止钓鱼
00AC9FB0	Road Sign: No Hitch Hikers	道路标禁止搭便车
00AC9FE8	Road Sign: No Horns	道路标禁鸣笛
00ACA018	Road Sign: No Idling	道路标禁空转
00ACA048	Road Sign: No Left Turn	道路标 禁止左转
00ACA078	Road Sign: No Littering #1	道路标 禁乱丢垃圾1
00ACA0B0	Road Sign: No Littering #2	道路标 禁乱丢垃圾2
00ACA0E8	Road Sign: No Loitering	道路标 禁止逗留
00ACA118	Road Sign: No Parking #1	道路标 禁止停车 1
00ACA150	Road Sign: No Parking #2	道路标 禁止停车 2
00ACA188	Road Sign: No Parking #3	道路标 禁止停车 3
00ACA1C0	Road Sign: No Parking #4	道路标 禁止停车 4
00ACA1F8	Road Sign: No Passing	道路标禁止超车
00ACA228	Road Sign: No Stereo	道路标禁播3D声
00ACA258	Road Sign: No Stopping	道路标 禁止停车
00ACA288	Road Sign: No Thru Street	道路标志 禁止通行
00ACA2C0	Road Sign: No Thru Trucking	道路标禁止卡车通过
00ACA2F8	Road Sign: No Truck Right Turns	道路标志 禁止卡车右转
00ACA330	Road Sign: No Truck Turns	道路标 禁卡车转弯
00ACA368	Road Sign: No Trucks	道路标  禁卡车
00ACA398	Road Sign: No U Turns	道路标志禁掉头
00ACA3C8	Road Sign: One Way Left	道路标单行左转
00ACA3F8	Road Sign: One Way Right	道路标单行道右转
00ACA430	Road Sign: Orange & White Chevrons	道路标志：橙白色箭头
00ACA470	Road Sign: Parking Exit	路标 停车场出口
00ACA4A0	Road Sign: Parking Hours	道路标志停车时间
00ACA4D8	Road Sign: Pets Off Grass	路标 宠物禁上草坪
00ACA510	Road Sign: Pier Ends	路标  码头尽头
00ACA540	Road Sign: Quiet Please	路标  请保持安静
00ACA570	Road Sign: Railroad 2 Tracks	道路标志铁路2条轨道
00ACA5A8	Road Sign: Railroad 3 Tracks	道路标志铁路3条轨道
00ACA5E0	Road Sign: Ramp 35MPH	道路标 坡道35MPH
00ACA610	Road Sign: Rattle Snakes	道路标志：响尾蛇
00ACA648	Road Sign: Right Arrow	道路标 右转箭头
00ACA678	Road Sign: Right Bend	道路标志：右弯
00ACA6A8	Road Sign: Right Only	道路标仅限右转
00ACA6D8	Road Sign: Right Turn	道路标志：右转
00ACA708	Road Sign: Road Closed	道路标 道路封闭
00ACA738	Road Sign: Route #1	道路标 路线 1
00ACA768	Road Sign: Route #11	道路标 路线 11
00ACA798	Road Sign: Route #13	道路标 路线 13
00ACA7C8	Road Sign: San Andreas Rules	路标 圣安地列斯规则
00ACA800	Road Sign: Sidewalk Closed	路标志 人行道关闭
00ACA838	Road Sign: Slippy	道路标志 滑
00ACA868	Road Sign: Split	道路标 分岔
00ACA898	Road Sign: Stay In Lane	路标  保持车道内
00ACA8C8	Road Sign: Stop	道路标停车
00ACA8F0	Road Sign: Stop (Snowy)	道路标 停车雪地
00ACA920	Road Sign: Stop Ahead	道路标前方停车
00ACA950	Road Sign: Stop Rail Crossing	道路标 停车铁路道口
00ACA988	Road Sign: Stop Wrong Way	路标 停车错误方向
00ACA9C0	Road Sign: Taxi Zone	路标  出租车站
00ACA9F0	Road Sign: Thru Traffic Direction	道路标志：直行交通方向
00ACAA28	Road Sign: Tow Zone	道路标 拖车区
00ACAA58	Road Sign: Tractors	道路标 拖拉机
00ACAA88	Road Sign: Trams	道路标 电车
00ACAAB8	Road Sign: Truck Entrance	道路标志 卡车入口
00ACAAF0	Road Sign: Trucks 20MPH	道路标志卡车20MPH
00ACAB20	Road Sign: Trucks 45MPH	道路标志卡车45MPH
00ACAB50	Road Sign: Trucks 55MPH	道路标志卡车55MPH
00ACAB80	Road Sign: Trucks 5MPH	道路标志卡车5MPH
00ACABB0	Road Sign: Tsunami	道路标志海啸
00ACABE0	Road Sign: Use Crosswalk	路标使用人行横道
00ACAC18	Road Sign: Welcome To Beach	道路标欢迎来到海滩
00ACAC50	Road Sign: Wildlife Habitat	路标野生动物栖息地
00ACAC88	Road Sign: Yellow With Red Dots	道路标志：黄色带红点
00ACACC0	Roadwork Sign #2	道路施工标2
00ACACF0	Security Barrier #1	安全屏障 1
00ACAD20	Security Barrier #5	安全屏障 5
00ACAD50	Security Barrier Base	安全屏障底座
00ACAD80	Security Barrier Double	双重安全屏障
00ACADB0	Security Barrier Pole #1	安全屏障柱 1
00ACADE8	Security Barrier Pole #2	安全屏障柱 2
00ACAE20	Toll Booth	收费站
00ACAE48	Traffic Electric Diversion Sign #1	交通电气绕行标志 1
00ACAE88	Traffic Electric Diversion Sign #2	交通电气绕行标志 2
00ACAEC8	Traffic Light	交通信灯
00ACAEF0	Traffic Light #2	交通号灯 2
00ACAF20	Traffic Light Four Way Loose	四向信号灯松动
00ACAF60	Traffic Light Pedestrian	交通信号灯行人
00ACAF98	Traffic Light Set #1	交通信号灯组 1
00ACAFC8	Traffic Lights For Rail Crossing	铁道道口交通信号灯
00ACB008	Tyre Wall #1	轮胎墙 1
00ACB030	Tyre Wall #2	轮胎墙 2
00ACB058	Tyre Wall #4	轮胎墙 4
00ACB080	Tyre Wall #5	轮胎墙 5
00ACB0A8	Tyre Wall #7	轮胎墙 7
00ACB0D0	Tyre Wall #10	轮胎墙 10
00ACB0F8	Uneven Pavement Sign	不平路面标志
00ACB128	Vintage Gas Pump	复古加油泵
00ACB158	Bison Winch	野绞盘
00ACB17C	Cable	缆
00ACB198	Cable Hook	电缆钩
00ACB1C0	Devin Rope	德文绳
00ACB1E8	Flatbed Strap #1	平板带 1
00ACB218	Flatbed Strap #2	平板带 2
00ACB248	Heist Rope #2	抢劫用绳2
00ACB270	Hook	钩
00ACB288	Rope Hook	绳钩
00ACB2B0	Rope Tie	绳结
00ACB2D8	Rope With Hook	带钩绳索
00ACB300	Sky Crane Magnet	空中吊磁铁
00ACB330	Stag Do Rope	单身绳子
00ACB358	Trevor's Rope	特雷绳子
00ACB380	Vehicle Hook	车辆钩
00ACB3A8	Winch Hook Long	长型绞盘钩
00ACB3D0	Astrology Stall Table #1	占星摊位桌子 1
00ACB408	Astrology Stall Table #2	占星摊位桌子 2
00ACB440	Batteries Display	电池展示
00ACB470	Box of Horoscope Books #1	星座书箱 1
00ACB4A8	Box of T-Shirts	T恤箱
00ACB4D0	Burger Stand	汉堡摊
00ACB4F8	Candy Packs: Pow #1	糖果包：Pow 1
00ACB520	Candy Packs: Ps And Qs	糖果包  Ps And Qs
00ACB548	Candy Packs: Sweet Nothings	糖果包：甜言蜜语
00ACB578	Cans Of Pop Four Pack	四罐汽水
00ACB5A8	Carrier Bag	手提袋
00ACB5D0	Chocolate Bars: Captain's Log	巧克力棒：船长日志
00ACB600	Chocolate Bars: Earthquakes	巧克力棒：地震
00ACB630	Chocolate Bars: Ego Chaser	巧克力棒  追求自我
00ACB668	Cigarette Display	香烟展示
00ACB690	Coffee Cart Stall	咖啡车摊
00ACB6C0	Deodorants Display	除臭剂展示
00ACB6F0	Donut Display	甜圈展示
00ACB718	Dress Display #1	连衣裙展示1
00ACB748	Dress Display #2	连衣裙展示2
00ACB778	Dress Display #3	连衣裙展示3
00ACB7A8	Food Shelves #1	食品货架 1
00ACB7D0	Food Shelves #2	食品货架 2
00ACB7F8	Food Shelves #3	食品货架 3
00ACB820	Food Shelves #4	食品货架 4
00ACB848	Fruit Stand #1	水果摊 1
00ACB870	Fruit Stand #2	水果摊 2
00ACB898	Fruit Stand #3	水果摊 3
00ACB8C0	Fruit Stand (Empty)	水果摊 空的
00ACB8F0	Fruit Stand (Full)	水果摊 满的
00ACB920	Fruit Stand Marquee	水果摊遮阳篷
00ACB950	Gas Station Sweet Counter	加油站糖果柜台
00ACB988	Gas Station Sweet Display	加油站糖果展示
00ACB9B8	Henna Display #1	蓬松展示 1
00ACB9E8	Henna Display #3	蓬松展示 3
00ACBA18	Hot Dog Stand	热狗摊
00ACBA40	Ice Locker	冰箱
00ACBA68	Ketchup Packs	番茄酱包
00ACBA90	Lottery Cards Display	彩票卡展示
00ACBAC0	Lotto Sign	彩票标
00ACBAE8	Mannequin	人体模
00ACBB08	Mustard Packs	芥末酱包
00ACBB30	Pharmacy Cabinet #1	药店橱柜 1
00ACBB58	Pharmacy Display #1	药店展示 1
00ACBB88	Plastic Bag	塑料袋
00ACBBB0	Postcard Rack	明信片架
00ACBBD8	Pot Noodle Four Pack #1	方便面四包 1
00ACBC08	Shop Till #1	收银机 1
00ACBC28	Shop Till #1 Damaged	收银机 1 损坏
00ACBC58	Shop Till #3	收银机 3
00ACBC78	Shopping Bag	购物袋
00ACBCA0	Shopping Bags #1	购物袋 1
00ACBCD0	Sock Box #1	袜子盒 1
00ACBCF8	Sunglasses Stand	太阳镜展架
00ACBD68	Tin Of Tuna Four Pack	金枪鱼四罐装
00ACBD98	Tins Of Chopped Tomatoes	切碎番茄罐头
00ACBDD0	Airport For Sale Sign	机场出售标志
00ACBE00	Beggar Sign #1	乞讨标志 1
00ACBE28	Beggar Sign #2	乞讨标志 2
00ACBE50	Beggar Sign #3	乞讨标志 3
00ACBE78	Beggar Sign #4	乞讨标志 4
00ACBE98	Beware Dog Sign	小心狗标志
00ACBEB8	Check In Road Sign	登机道路标志
00ACBEE8	Film Advert	广告
00ACBF10	For Sale Sign (Dynasty #1)	出售标志（王朝 1）
00ACBF40	For Sale Sign (Dynasty #2)	出售标志（王朝 2）
00ACBF78	For Sale Sign (Johnsons #1)	出售标志 (约翰逊)
00ACBFA8	For Sale Sign (Johnsons) #1	出售标志 (约翰逊) 1
00ACBFE0	For Sale Sign (Johnsons) #2	出售标志 (约翰逊) 2
00ACC018	For Sale Sign (Lenny)	出售标志 莱尼
00ACC048	For Sale Sign Small #1	小型出售标志 1
00ACC078	For Sale Sign Small #2	小型出售标志 2
00ACC0A8	For Sale Sign Small #3	小型出售标志 3
00ACC0D8	For Sale Sign Small #4	小型出售标志 4
00ACC108	For Sale Sign Small #5	小型出售标志 5
00ACC138	For Sale Sign Small #6	小型出售标志 6
00ACC168	For Sale Sign Small #8	小型出售标志 8
00ACC198	For Sale Sign Small #9	小型出售标志 9
00ACC1C8	For Sale Sign Triangle	三角形出售标志
00ACC1F8	Foreclosure Sign #1	止赎标志 1
00ACC228	Foreclosure Sign #2	止赎标志 2
00ACC258	Foreclosure Sign #3	止赎标志 3
00ACC288	Foreclosure Sign #4	止赎标志 4
00ACC2B8	Foreclosure Sign #5	止赎标志 5
00ACC2E8	Foreclosure Sign #8	止赎标志 8
00ACC318	Foreclosure Sign #9	止赎标志 9
00ACC340	Fruit Sign	水果标
00ACC368	Giant Orange	巨型橙子
00ACC390	Life Invader Logo Black Full	Life  黑色全标志
00ACC3C8	Life Invader Logo Black L	Life  黑色L标志
00ACC400	Life Invader Logo Red Full	Life  红色全标志
00ACC438	Life Invader Logo Red L	Life  红色L标志
00ACC468	Neon Sign: Liquor	霓虹标  酒类
00ACC498	Pharmacy Sign	药店标志
00ACC4C0	Protest Sign #1	抗议标志 1
00ACC4E8	Protest Sign #3	抗议标志 3
00ACC518	Protest Sign #5	抗议标志 5
00ACC548	Protest Sign #6	抗议标志 6
00ACC568	Protest Sign #7	抗议标志 7
00ACC588	Safety Warning Sign #1	安全警告标志 1
00ACC5B0	Safety Warning Sign #2	安全警告标志 2
00ACC5D8	Safety Warning Sign #3	安全警告标志 3
00ACC600	Safety Warning Sign #4	安全警告标志 4
00ACC628	Safety Warning Sign #5	安全警告标志 5
00ACC650	Safety Warning Sign #6	安全警告标志 6
00ACC678	Safety Warning Sign #7	安全警告标志 7
00ACC6A0	Safety Warning Sign #8	安全警告标志 8
00ACC6D0	Safety Warning Sign #9	安全警告标志 9
00ACC700	Safety Warning Sign #10	安全警告标志 10
00ACC730	Sandwich Board Sign: Ammu Nation	三明治板标志：Ammu Nation
00ACC770	Sandwich Board Sign: Bike Hire	三明治板标自行车出租
00ACC7A8	Sandwich Board Sign: ECola	三明治板标志：ECola
00ACC7E0	Security Sign #1	安全标志 1
00ACC810	Security Sign #2	安全标志 2
00ACC840	Security Sign #3	安全标志 3
00ACC870	Security Sign #4	安全标志 4
00ACC8A0	Security Sign #5	安全标志 5
00ACC8C8	Security Sign #6	安全标志 6
00ACC8F0	Valet Parking Sign	代客泊车标志
00ACC918	Valet Stop Here Sign	泊车停此标志
00ACC948	Valet Thanks Sign	泊车感谢标
00ACC978	Venice Advert Board #1	威尼斯广告板 1
00ACC9A8	Venice Advert Board #2	威尼斯广告板 2
00ACC9D8	Venice Advert Board #3	威尼斯广告板 3
00ACCA08	Venice Beach Sign: Fast Food	威尼斯海滩标：快餐
00ACCA40	Venice Beach Sign: Ice Cream	威尼斯海滩标 冰激凌
00ACCA78	Venice Beach Sign: Natural	威尼斯海滩标 自然
00ACCAB0	Venice Beach Sign: Piercing	威尼斯海滩标：穿孔
00ACCAE8	Venice Beach Sign: Pipe Shop	威尼斯海滩标 管道店
00ACCB20	Venice Beach Sign: Pizza	威尼斯海滩标比萨
00ACCB58	Venice Beach Sign: Sale	威尼斯滩标  销售
00ACCB88	Venice Beach Sign: Skate & Bike	威尼斯滩标 滑板自行车
00ACCBC0	Venice Beach Sign: Tattoos	威尼斯滩标：纹身
00ACCBF8	Venice Sign #1	威尼斯标 1
00ACCC20	Venice Sign #2	威尼斯标 2
00ACCC48	Venice Sign #3	威尼斯标 3
00ACCC70	Venice Sign #4	威尼斯标 4
00ACCC98	Venice Sign #5	威尼斯标 5
00ACCCC0	Venice Sign #6	威尼斯标 6
